,salary_in_usd
0,79833
1,260000
2,109024
3,20000
4,150000
5,72000
6,190000
7,35735
8,135000
9,125000
10,51321
11,40481
12,39916
13,87000
14,85000
15,8000
16,41689
17,114047
18,5707
19,56000
20,43331
21,6072
22,47899
23,98000
24,115000
25,325000
26,42000
27,33511
28,100000
29,117104
30,59303
31,70000
32,68428
33,450000
34,46759
35,74130
36,103000
37,250000
38,10000
39,138000
40,45760
41,79833
42,50180
43,106000
44,112872
45,15966
46,76958
47,188000
48,105000
49,70139
50,6072
51,91000
52,45896
53,54742
54,60000
55,148261
56,38776
57,118000
58,120000
59,138350
60,110000
61,130800
62,21669
63,412000
64,45618
65,62726
66,49268
67,190200
68,105000
69,91237
70,62726
71,42197
72,82528
73,150000
74,235000
75,53192
76,100000
77,5409
78,270000
79,80000
80,79197
81,140000
82,54238
83,47282
84,153667
85,28476
86,59102
87,110000
88,170000
89,80000
90,88654
91,76833
92,19609
93,276000
94,29751
95,89294
96,12000
97,450000
98,70000
99,95746
100,75000
101,150000
102,36259
103,62000
104,73000
105,51519
106,187442
107,115000
108,150000
109,30428
110,94564
111,113476
112,103160
113,12000
114,45391
115,225000
116,50000
117,40189
118,90000
119,200000
120,60000
121,200000
122,50000
123,110037
124,10354
125,151000
126,120000
127,9466
128,20000
129,40570
130,100000
131,49646
132,38400
133,24000
134,100000
135,90000
136,63711
137,77364
138,220000
139,80000
140,135000
141,240000
142,150000
143,82500
144,100000
145,82744
146,62649
147,90000
148,153000
149,160000
150,168000
151,150000
152,75774
153,13400
154,144000
155,127221
156,119059
157,423000
158,120000
159,125000
160,230000
161,85000
162,28369
163,63831
164,130026
165,165000
166,80000
167,250000
168,55000
169,150000
170,170000
171,82528
172,60000
173,235000
174,60757
175,174000
176,2859
177,40038
178,81000
179,5679
180,22611
181,90734
182,26005
183,61896
184,12000
185,4000
186,50000
187,69741
188,76833
189,74000
190,152000
191,21844
192,18000
193,174000
194,96113
195,147000
196,9272
197,24342
198,54094
199,90000
200,61467
201,195000
202,37825
203,50000
204,160000
205,12901
206,200000
207,165000
208,20000
209,120000
210,24823
211,56738
212,66022
213,5882
214,24823
215,185000
216,28609
217,90734
218,88654
219,140000
220,46597
221,116914
222,33808
223,56256
224,225000
225,416000
226,87738
227,88654
228,135000
229,71786
230,16228
231,256000
232,200000
233,200000
234,180000
235,110000
236,63810
237,46809
238,4000
239,21637
240,103691
241,80000
242,110000
243,165000
244,18053
245,72212
246,36643
247,12103
248,96282
249,170000
250,115000
251,90000
252,600000
253,28399
254,93000
255,99703
256,200000
257,173762
258,185000
259,141846
260,130000
261,63831
262,16904
263,66265
264,25532
265,160000
266,93150
267,111775
268,28016
269,65013
270,72500
271,18907
272,76833
273,85000
274,77684
275,100000
276,58000
277,55000
278,20171
279,59102
280,112000
281,100000
282,69741
283,105000
284,69999
285,94665
286,102839
287,109000
288,51064
289,135000
290,155000
291,120600
292,130000
293,90000
294,170000
295,150000
296,102100
297,84900
298,136620
299,99360
300,117789
301,104702
302,146000
303,123000
304,52351
305,99000
306,116000
